EID,SR,com,com2
2-s2.0-0033556632,"Lins H & Slack J, (1999) Geophysical Research Letters",6,3
2-s2.0-58849095406,"Armand M et al., (2009) Nature Materials",2,10
2-s2.0-84949785672,"Aldrich H & Ruef M, (2006) Organizations Evolving, Second Edition",3,5
2-s2.0-33947670511,"Ribrant J & Bertling L, (2007) IEEE Transactions on Energy Conversion",NA,NA
2-s2.0-0348132999,"Hess M, (2004) Progress in Human Geography",4,2
2-s2.0-0035420625,"Fleming L & Sorenson O, (2001) Research Policy",3,2
2-s2.0-0034738710,"Jacobsson S & Johnson A, (2000) Energy Policy",4,1
2-s2.0-12444324593,"Bulkeley H & Betsill M, (2005) Environmental Politics",2,3
2-s2.0-15244345818,"Kates R et al., (2005) Environment",NA,NA
2-s2.0-73449132927,"Loorbach D, (2010) Governance",1,4
2-s2.0-74949133946,"Geels F, (2010) Research Policy",1,4
2-s2.0-84862777797,"Smith A & Raven R, (2012) Research Policy",1,2
2-s2.0-0036755968,"Gatignon H et al., (2002) Management Science",3,2
2-s2.0-34248190229,"Shove E & Walker G, (2007) Environment and Planning A",1,4
2-s2.0-0037456378,"Christensen J & Christensen O, (2003) Nature",6,2
2-s2.0-0032377899,"Fahey L & Prusak L, (1998) California Management Review",3,1
2-s2.0-84879420033,"Boons F & Ludeke-Freund F, (2013) Journal of Cleaner Production",1,4
2-s2.0-41749112860,"Markard J & Truffer B, (2008) Research Policy",1,2
2-s2.0-84923115986,"McGlade C & Ekins P, (2015) Nature",6,1
2-s2.0-27944482717,"Gilbert C, (2005) Academy of Management Journal",3,2
2-s2.0-84885660070,"Stilgoe J et al., (2013) Research Policy",2,6
2-s2.0-0037391032,"Hill C & Rothaermel F, (2003) Academy of Management Review",3,2
2-s2.0-38049076477,"Horbach J, (2008) Research Policy",3,1
2-s2.0-0034024395,"Breschi S et al., (2000) Economic Journal",3,1
2-s2.0-18844370077,"Hipp C & Grupp H, (2005) Research Policy",4,1
2-s2.0-34547537693,"Lundvall B, (2007) Industry and Innovation",4,1
2-s2.0-79955964174,"Gifford R, (2011) American Psychologist",5,3
2-s2.0-34250350077,"Garud R et al., (2007) Organization Studies",7,2
2-s2.0-33745698898,"Tukker A & Tischner U, (2006) Journal of Cleaner Production",1,1
2-s2.0-84865015888,"Egbue O & Long S, (2012) Energy Policy",5,3
2-s2.0-79959553859,"Wiek A et al., (2011) Sustainability Science",2,10
2-s2.0-0036101597,"Langlois R, (2002) Journal of Economic Behavior and Organization",3,3
2-s2.0-0032578907,"Hoffert M et al., (1998) Nature",6,1
2-s2.0-0036535306,"McEvily S & Chakravarthy B, (2002) Strategic Management Journal",3,2
2-s2.0-0035539608,"Miner A et al., (2001) Administrative Science Quarterly",3,5
2-s2.0-33947220030,"Giuliani E, (2007) Journal of Economic Geography",4,2
2-s2.0-77953241510,"Bruton G et al., (2010) Entrepreneurship: Theory and Practice",7,2
2-s2.0-0036868098,"McDermott C & O'Connor G, (2002) Journal of Product Innovation Management",3,2
2-s2.0-0037410654,"Menanteau P et al., (2003) Energy Policy",3,3
2-s2.0-1642416329,"Van Kersbergen K & Van Waarden F, (2004) European Journal of Political Research",2,2
2-s2.0-70449399625,"Dhakal S, (2009) Energy Policy",2,9
2-s2.0-63149188577,"Sorrell S et al., (2009) Energy Policy",NA,NA
2-s2.0-51549090248,"Keith D et al., (2008) Biology Letters",6,2
2-s2.0-33744728010,"Dodgson M et al., (2006) R and D Management",4,1
2-s2.0-33746340744,"Shove E & Pantzar M, (2005) Journal of Consumer Culture",5,1
2-s2.0-31244432577,"Romijn H & Albaladejo M, (2002) Research Policy",4,3
2-s2.0-77953285283,"Raymond C et al., (2010) Journal of Environmental Management",2,4
2-s2.0-17444372345,"Yeung H, (2005) Transactions of the Institute of British Geogra...",4,2
2-s2.0-0035217314,"Damanpour F & Gopalakrishnan S, (2001) Journal of Management Studies",3,2
2-s2.0-69249150113,"Huitema D et al., (2009) Ecology and Society",2,4
2-s2.0-0344131889,"Grubler A et al., (1999) Energy Policy",3,3
2-s2.0-0032397368,"Moorman C & Miner A, (1998) Journal of Marketing",3,5
2-s2.0-77955399927,"Whitmarsh L & O'Neill S, (2010) Journal of Environmental Psychology",5,3
2-s2.0-0036501817,"Unruh G, (2002) Energy Policy",3,2
2-s2.0-84929748123,"Murmann J, (2003) Knowledge and Competitive Advantage",3,2
2-s2.0-84863645148,"Cote M & Nightingale A, (2012) Progress in Human Geography",2,4
2-s2.0-16244414883,"Giuliani E et al., (2005) World Development",3,1
2-s2.0-0035295082,"Shenhar A, (2001) Management Science",3,2
2-s2.0-67849104060,"Mair J & Marti I, (2009) Journal of Business Venturing",7,2
2-s2.0-6944221141,"Jacobsson S & Bergek A, (2004) Industrial and Corporate Change",1,2
2-s2.0-3342973104,"Danneels E, (2004) Journal of Product Innovation Management",3,2
2-s2.0-74949124956,"Martin R, (2010) Economic Geography",4,2
2-s2.0-34247193527,"Berkes F, (2007) Natural Hazards",2,4
2-s2.0-33947706728,"Corma A et al., (2007) Journal of Catalysis",NA,NA
2-s2.0-61349176858,"Kaplan S, (2008) Organization Science",3,5
2-s2.0-78751473187,"Lawrence T et al., (2011) Journal of Management Inquiry",7,2
2-s2.0-79956274600,"Engle N, (2011) Global Environmental Change",2,4
2-s2.0-0034339121,"Newman K, (2000) Academy of Management Review",3,5
2-s2.0-38149009478,"Peck J & Theodore N, (2007) Progress in Human Geography",4,2
2-s2.0-79960646361,"Asheim B et al., (2011) Regional Studies",4,2
2-s2.0-0039258367,"Beckert J, (1999) Organization Studies",7,1
2-s2.0-0032842027,"Capello R, (1999) Regional Studies",3,1
2-s2.0-84921764590,"Hoffmann M, (2011) Climate Governance at the Crossroads: Experimen...",2,5
2-s2.0-84860218185,"Coenen L et al., (2012) Research Policy",1,1
2-s2.0-0035206930,"Bresnahan T et al., (2001) Industrial and Corporate Change",4,2
2-s2.0-0000232275,"Fichman R & Kemerer C, (1999) Information Systems Research",3,3
2-s2.0-34447319407,"Smith A, (2007) Technology Analysis and Strategic Management",1,2
2-s2.0-34547621279,"Stirling A, (2007) Journal of the Royal Society Interface",3,3
2-s2.0-40749129282,"Sorrell S & Dimitropoulos J, (2008) Ecological Economics",2,7
2-s2.0-0036255194,"Gatersleben B et al., (2002) Environment and Behavior",5,3
2-s2.0-33845504924,"Ozgen E & Baron R, (2007) Journal of Business Venturing",3,4
2-s2.0-72749116450,"Boschma R & Iammarino S, (2009) Economic Geography",4,2
2-s2.0-1142278771,"Delmar F & Shane S, (2004) Journal of Business Venturing",3,4
2-s2.0-33746978748,"Nemet G, (2006) Energy Policy",3,1
2-s2.0-33746755285,"Levinthal D & Rerup C, (2006) Organization Science",3,5
2-s2.0-77952568109,"McGrath R, (2010) Long Range Planning",3,2
2-s2.0-33750385377,"Hargrave T & Van De Ven A, (2006) Academy of Management Review",7,1
2-s2.0-0035351895,"Adner R & Levinthal D, (2001) Management Science",3,3
2-s2.0-28144455349,"Christensen J et al., (2005) Research Policy",4,1
2-s2.0-78049269959,"Bulkeley H, (2010) Annual Review of Environment and Resources",2,5
2-s2.0-0035733054,"Leamer E & Storper M, (2001) Journal of International Business Studies",4,2
2-s2.0-0001631963,"Scoones I, (1999) Annual Review of Anthropology",2,1
2-s2.0-70349998770,"Jasanoff S & Kim S, (2009) Minerva",2,6
2-s2.0-1642290273,"Holmqvist M, (2004) Organization Science",3,1
2-s2.0-52249102185,"Scott W, (2008) Theory and Society",7,1
2-s2.0-78449260859,"Poumanyvong P & Kaneko S, (2010) Ecological Economics",2,5
2-s2.0-33747255111,"Iammarino S & McCann P, (2006) Research Policy",4,2
2-s2.0-33845394491,"Verbong G & Geels F, (2007) Energy Policy",1,2
2-s2.0-77950110299,"Shove E & Walker G, (2010) Research Policy",1,4
2-s2.0-66349139054,"Sorensen E & Torfing J, (2009) Public Administration",2,2
2-s2.0-84861457867,"Horbach J et al., (2012) Ecological Economics",NA,NA
2-s2.0-84860389455,"Helfat C & Winter S, (2011) Strategic Management Journal",3,1
2-s2.0-0036683748,"Adner R, (2002) Strategic Management Journal",3,2
2-s2.0-84921289746,"Ciborra C, (2007) The Labyrinths of Information: Challenging the ...",3,4
2-s2.0-72449205945,"Meadowcroft J, (2009) Policy Sciences",1,4
2-s2.0-84911162056,"Leach M et al., (2010) Dynamic Sustainabilities: Technology, Environme...",1,4
2-s2.0-0036075099,"Mackinnon D et al., (2002) Progress in Human Geography",4,2
2-s2.0-84857938593,"O'Brien K, (2012) Progress in Human Geography",2,4
2-s2.0-33846933695,"Clark W, (2007) Proceedings of the National Academy of Sciences...",2,10
2-s2.0-0034698208,"Krabill W et al., (2000) Science",6,2
2-s2.0-77950154130,"Hodson M & Marvin S, (2010) Research Policy",1,4
2-s2.0-56449098785,"Yong G et al., (2008) Angewandte Chemie - International Edition",NA,NA
2-s2.0-27144447776,"Mitchell C et al., (2006) Energy Policy",1,2
2-s2.0-41849130575,"Hessels L & van Lente H, (2008) Research Policy",4,1
2-s2.0-84862687662,"Seyfang G & Haxeltine A, (2012) Environment and Planning C: Government and Policy",1,4
2-s2.0-0242574684,"Lafferty W & Hovden E, (2003) Environmental Politics",2,3
2-s2.0-2942700015,"Wolfe D & Gertler M, (2004) Urban Studies",4,2
2-s2.0-33747599163,"Battilana J, (2006) Organization",7,2
2-s2.0-84879004839,"Bulkeley H & Castan Broto V, (2013) Transactions of the Institute of British Geogra...",1,1
2-s2.0-33748946079,"Holland J, (2006) Journal of Systems Science and Complexity",NA,NA
2-s2.0-0035199042,"Dicken P & Malmberg A, (2001) Economic Geography",4,2
2-s2.0-34247119244,"Boschma R & Ter Wal A, (2007) Industry and Innovation",4,2
2-s2.0-84861676296,"Levin K et al., (2012) Policy Sciences",2,2
2-s2.0-0032373980,"Schmalensee R et al., (1998) Review of Economics and Statistics",6,1
2-s2.0-11344293971,"Klein Woolthuis R et al., (2005) Technovation",4,1
2-s2.0-77950536548,"Menzel M & Fornahl D, (2009) Industrial and Corporate Change",4,2
2-s2.0-84907085137,"Geels F, (2014) Theory, Culture & Society",1,1
2-s2.0-0033702654,"Hall J, (2000) Journal of Cleaner Production",3,1
2-s2.0-0035261931,"Shane S, (2001) Management Science",3,4
2-s2.0-25444522438,"Cooke P & Leydesdorff L, (2006) Journal of Technology Transfer",4,1
2-s2.0-77952557100,"Sosna M et al., (2010) Long Range Planning",3,5
2-s2.0-20344405435,"Geels F, (2005) Technological Forecasting and Social Change",1,2
2-s2.0-84871460743,"Bridge G et al., (2013) Energy Policy",1,3
2-s2.0-27844447823,"Shepherd D & DeTienne D, (2005) Entrepreneurship: Theory and Practice",3,4
2-s2.0-11244351761,"Boschma R, (2004) Regional Studies",4,2
2-s2.0-79956226442,"Hargreaves T, (2011) Journal of Consumer Culture",5,3
2-s2.0-0036475896,"King A & Tucci C, (2002) Management Science",3,2
2-s2.0-33847750206,"Wolsink M, (2007) Energy Policy",5,3
2-s2.0-0035600464,"Kraatz M & Zajac E, (2001) Organization Science",3,5
2-s2.0-0032303517,"Christensen C et al., (1998) Management Science",3,2
2-s2.0-85001837095,"Slaughter E, (1998) Journal of Construction Engineering and Management",3,1
2-s2.0-34247274634,"Kemp R et al., (2007) International Journal of Sustainable Developmen...",1,4
2-s2.0-0035315634,"Briers M & Wai F, (2001) Accounting, Organizations and Society",1,3
2-s2.0-31944437486,"Carlsson B, (2006) Research Policy",4,1
2-s2.0-44949102145,"Sinn H, (2008) International Tax and Public Finance",6,1
2-s2.0-84922465409,"Wise R et al., (2014) Global Environmental Change",2,4
2-s2.0-84950304702,"Smits R & Kuhlmann S, (2004) International Journal of Foresight and Innovati...",4,1
2-s2.0-79851484468,"Tracey P et al., (2011) Organization Science",7,2
2-s2.0-0036016131,"Schilling M, (2002) Academy of Management Journal",3,3
2-s2.0-48549095686,"Verganti R, (2008) Journal of Product Innovation Management",3,2
2-s2.0-31344453502,"Geels Ir, (2005) Technology Analysis and Strategic Management",1,2
2-s2.0-0034338382,"Moore M, (2000) Nonprofit and Voluntary Sector Quarterly",3,5
2-s2.0-0032877951,"Bell M & Albu M, (1999) World Development",4,1
2-s2.0-0141792317,"Denrell J et al., (2003) Strategic Management Journal",3,4
2-s2.0-42649088776,"Boland Jr et al., (2007) Organization Science",3,5
2-s2.0-77953772819,"Smith A & Stirling A, (2010) Ecology and Society",1,4
2-s2.0-66149177015,"Jaffe A et al., (2003) Handbook of Environmental Economics",3,3
2-s2.0-84872606975,"Castan Broto V & Bulkeley H, (2013) Global Environmental Change",2,5
2-s2.0-0033179970,"Goulder L & Schneider S, (1999) Resource and Energy Economics",6,1
2-s2.0-37149050174,"Betsill M & Bulkeley H, (2007) Local Environment",2,5
2-s2.0-63349106254,"Hall C et al., (2009) Energies",2,7
2-s2.0-0141751720,"Spaargaren G, (2003) Society and Natural Resources",1,4
2-s2.0-13844267630,"Foxon T et al., (2005) Energy Policy",4,1
2-s2.0-24344433169,"Cooke P, (2005) Research Policy",4,2
2-s2.0-0002183976,"Gherardi S & Nicolini D, (2000) Organization",5,4
2-s2.0-34548857073,"Lipp J, (2007) Energy Policy",1,5
2-s2.0-38049069837,"Walker G & Devine-Wright P, (2008) Energy Policy",1,5
2-s2.0-0001267275,"Afuah A, (2000) Strategic Management Journal",3,2
2-s2.0-38749126736,"Levin S & Lubchenco J, (2008) BioScience",2,4
2-s2.0-84870721464,"Hook M & Tang X, (2013) Energy Policy",2,7
2-s2.0-77952040525,"Garud R et al., (2010) Journal of Management Studies",3,4
2-s2.0-33747151599,"Murmann J & Frenken K, (2006) Research Policy",3,2
2-s2.0-33751164426,"Teece D, (2006) Research Policy",3,3
2-s2.0-33846689582,"Gaventa J, (2006) IDS Bulletin",5,4
2-s2.0-78649433223,"Butler J, (2010) Journal of Cultural Economy",NA,NA
2-s2.0-0033245711,"Everett M & Borgatti S, (1999) Journal of Mathematical Sociology",3,1
2-s2.0-67649132650,"Ropke I, (2009) Ecological Economics",5,1
2-s2.0-76249111879,"Suddaby R, (2010) Journal of Management Inquiry",7,2
2-s2.0-2042522688,"Beunza D & Stark D, (2004) Industrial and Corporate Change",3,5
2-s2.0-0031755034,"Cooke P et al., (1998) Environment and Planning A",4,1
2-s2.0-79955918086,"Flanagan K et al., (2011) Research Policy",2,2
2-s2.0-0035605178,"Denrell J & March J, (2001) Organization Science",3,5
2-s2.0-77955179702,"Carrillo-Hermosilla J et al., (2010) Journal of Cleaner Production",1,2
2-s2.0-78149400920,"Davidson D, (2010) Society and Natural Resources",2,4
2-s2.0-0036696733,"Doloreux D, (2002) Technology in Society",4,2
2-s2.0-0032365502,"Schilling M, (1998) Academy of Management Review",3,3
2-s2.0-77955370297,"Hockerts K & Wustenhagen R, (2010) Journal of Business Venturing",3,2
2-s2.0-84890201470,"Wilson G, (2007) Multifunctional Agriculture: A Transition Theor...",NA,NA
2-s2.0-70349774460,"Davis J et al., (2009) Administrative Science Quarterly",3,5
2-s2.0-72749114085,"MacKinnon D et al., (2009) Economic Geography",4,2
2-s2.0-41449111802,"Jordan A, (2008) Environment and Planning C: Government and Policy",2,3
2-s2.0-84883938915,"Stark D, (2011) The Sense of Dissonance: Accounts of Worth in E...",3,5
2-s2.0-0036239136,"Johnson B et al., (2002) Industrial and Corporate Change",4,3
2-s2.0-84986107434,"Johannessen J et al., (2001) European Journal of Innovation Management",3,1
2-s2.0-0012320696,"Pavitt K, (1998) Industrial and Corporate Change",3,2
2-s2.0-0033459457,"Rosa J et al., (1999) Journal of Marketing",3,5
2-s2.0-34248325655,"Mathews J & Zander I, (2007) Journal of International Business Studies",3,4
2-s2.0-84986170709,"Dillard J et al., (2004) Accounting, Auditing & Accountability Journal",7,1
2-s2.0-74849125985,"Nicolini D, (2009) Organization Studies",5,1
2-s2.0-4043111402,"Argyres N & Silverman B, (2004) Strategic Management Journal",3,5
2-s2.0-84896784091,"Sierzchula W et al., (2014) Energy Policy",3,2
2-s2.0-77953437977,"Klerkx L et al., (2010) Agricultural Systems",1,1
2-s2.0-0036003240,"Townley B, (2002) Academy of Management Journal",7,1
2-s2.0-33645310140,"Sarason Y et al., (2006) Journal of Business Venturing",3,4
2-s2.0-57449120525,"Todtling F et al., (2009) Technovation",4,2
2-s2.0-84903128399,"Besharov M & Smith W, (2014) Academy of Management Review",7,3
2-s2.0-0031856333,"Decanio S, (1998) Energy Policy",4,2
2-s2.0-0033473811,"Lawrence T, (1999) Journal of Management",7,1
2-s2.0-78049276265,"Gelcich S et al., (2010) Proceedings of the National Academy of Sciences...",2,4
2-s2.0-84879414979,"Boons F et al., (2013) Journal of Cleaner Production",1,4
2-s2.0-0035644080,"Lubit R, (2001) Organizational Dynamics",3,1
2-s2.0-2942744660,"Dopfer K et al., (2004) Journal of Evolutionary Economics",3,1
2-s2.0-44749092217,"Tether B & Tajar A, (2008) Research Policy",4,1
2-s2.0-0041638821,"Booher D & Innes J, (2002) Journal of Planning Education and Research",2,2
2-s2.0-33644699472,"McDowall W & Eames M, (2006) Energy Policy",1,2
2-s2.0-50649091327,"Fagerberg J & Srholec M, (2008) Research Policy",4,1
2-s2.0-84994893387,"Riahi K et al., (2017) Global Environmental Change",6,1
2-s2.0-33746115289,"Geels F & Raven R, (2006) Technology Analysis and Strategic Management",1,2
2-s2.0-78149374054,"Reid W et al., (2010) Science",2,10
2-s2.0-0001197305,"Levinthal D, (1998) Industrial and Corporate Change",3,3
2-s2.0-84929759891,"Davies A et al., (2005) The Business of Projects: Managing Innovation i...",3,2
2-s2.0-84865185513,"Geels F, (2012) Journal of Transport Geography",1,1
2-s2.0-0036716784,"Landry R et al., (2002) Technological Forecasting and Social Change",4,1
2-s2.0-0042568813,"Verona G & Ravasi D, (2003) Industrial and Corporate Change",3,2
2-s2.0-33744506032,"Sorensen E, (2006) American Review of Public Administration",2,2
2-s2.0-33646048748,"Sneddon C et al., (2006) Ecological Economics",2,1
2-s2.0-23744488535,"Kemp R et al., (2005) International Journal of Sustainable Development",1,4
2-s2.0-34548279279,"Klijn E & Skelcher C, (2007) Public Administration",2,2
2-s2.0-64049102467,"Nemet G, (2009) Research Policy",3,1
2-s2.0-64549091080,"Brown R et al., (2009) Water Science and Technology",7,4
2-s2.0-84904240075,"Vanolo A, (2014) Urban Studies",2,8
2-s2.0-31144468660,"Hobday M et al., (2005) Industrial and Corporate Change",3,5
2-s2.0-33751325851,"Damanpour F & Daniel Wischnevsky J, (2006) Journal of Engineering and Technology Managemen...",3,2
2-s2.0-0037299958,"Nerkar A, (2003) Management Science",3,2
2-s2.0-33645066993,"Couldry N, (2004) Social Semiotics",5,1
2-s2.0-4143058161,"Zajac E & Westphal J, (2004) American Sociological Review",7,1
2-s2.0-79953047645,"Ahern J, (2011) Landscape and Urban Planning",2,10
2-s2.0-84995709974,"Sorensen E & Torfing J, (2016) Theories of Democratic Network Governance",2,2
2-s2.0-1242298857,"Suarez F, (2004) Research Policy",3,3
2-s2.0-0036284471,"Ragab R & Prudhomme C, (2002) Biosystems Engineering",6,3
